Current state: 0, Current token: IDENTIFIER SHIFT to state 3
Current state: 3, Current token: = SHIFT to state 31
Current state: 31, Current token: INTEGER SHIFT to state 10
Current state: 10, Current token: NEWLINE REDUCE by rule 4 GOTO to state 25
Current state: 25, Current token: NEWLINE REDUCE by rule 30 GOTO to state 23
Current state: 23, Current token: NEWLINE REDUCE by rule 29 GOTO to state 27
Current state: 27, Current token: NEWLINE REDUCE by rule 50 GOTO to state 24
Current state: 24, Current token: NEWLINE REDUCE by rule 13 GOTO to state 57
Current state: 57, Current token: NEWLINE REDUCE by rule 0 GOTO to state 9
Current state: 9, Current token: NEWLINE REDUCE by rule 42 GOTO to state 6
Current state: 6, Current token: NEWLINE SHIFT to state 32
Current state: 32, Current token: IDENTIFIER SHIFT to state 3
Current state: 3, Current token: = SHIFT to state 31
Current state: 31, Current token: FLOAT SHIFT to state 13
Current state: 13, Current token: NEWLINE REDUCE by rule 3 GOTO to state 25
Current state: 25, Current token: NEWLINE REDUCE by rule 30 GOTO to state 23
Current state: 23, Current token: NEWLINE REDUCE by rule 29 GOTO to state 27
Current state: 27, Current token: NEWLINE REDUCE by rule 50 GOTO to state 24
Current state: 24, Current token: NEWLINE REDUCE by rule 13 GOTO to state 57
Current state: 57, Current token: NEWLINE REDUCE by rule 0 GOTO to state 9
Current state: 9, Current token: NEWLINE REDUCE by rule 42 GOTO to state 6
Current state: 6, Current token: NEWLINE SHIFT to state 32
Current state: 32, Current token: IDENTIFIER SHIFT to state 3
Current state: 3, Current token: = SHIFT to state 31
Current state: 31, Current token: STRING SHIFT to state 17
Current state: 17, Current token: NEWLINE REDUCE by rule 2 GOTO to state 25
Current state: 25, Current token: NEWLINE REDUCE by rule 30 GOTO to state 23
Current state: 23, Current token: NEWLINE REDUCE by rule 29 GOTO to state 27
Current state: 27, Current token: NEWLINE REDUCE by rule 50 GOTO to state 24
Current state: 24, Current token: NEWLINE REDUCE by rule 13 GOTO to state 57
Current state: 57, Current token: NEWLINE REDUCE by rule 0 GOTO to state 9
Current state: 9, Current token: NEWLINE REDUCE by rule 42 GOTO to state 6
Current state: 6, Current token: NEWLINE SHIFT to state 32
Current state: 32, Current token: IDENTIFIER SHIFT to state 3
Current state: 3, Current token: = SHIFT to state 31
Current state: 31, Current token: BOOLEAN SHIFT to state 11
Current state: 11, Current token: NEWLINE REDUCE by rule 1 GOTO to state 25
Current state: 25, Current token: NEWLINE REDUCE by rule 30 GOTO to state 23
Current state: 23, Current token: NEWLINE REDUCE by rule 29 GOTO to state 27
Current state: 27, Current token: NEWLINE REDUCE by rule 50 GOTO to state 24
Current state: 24, Current token: NEWLINE REDUCE by rule 13 GOTO to state 57
Current state: 57, Current token: NEWLINE REDUCE by rule 0 GOTO to state 9
Current state: 9, Current token: NEWLINE REDUCE by rule 42 GOTO to state 6
Current state: 6, Current token: NEWLINE SHIFT to state 32
